occurrence_no,name,diet,type,length_m,max_ma,min_ma,region,lng,lat,class,family
490806,Coelurus,carnivorous,small theropod,1.8,155.7,145.0,Colorado,-108.397202,38.583099,Saurischia,
490807,Ceratosaurus,carnivorous,large theropod,6.0,155.7,145.0,Colorado,-108.397202,38.583099,Saurischia,
490808,Stokesosaurus,,,,155.7,145.0,Colorado,-108.397202,38.583099,Saurischia,
490809,Marshosaurus,carnivorous,large theropod,6.0,155.7,145.0,Colorado,-108.397202,38.583099,Saurischia,Piatnitzkysauridae
490811,Apatosaurus,herbivorous,sauropod,21.0,155.7,145.0,Colorado,-108.397202,38.583099,Saurischia,Diplodocidae
490812,Barosaurus,herbivorous,sauropod,24.0,155.7,145.0,Colorado,-108.397202,38.583099,Saurischia,Diplodocidae
490813,Camarasaurus,herbivorous,sauropod,23.0,155.7,145.0,Colorado,-108.397202,38.583099,Saurischia,
490818,Allosaurus,carnivorous,large theropod,12.0,155.7,145.0,Colorado,-108.397202,38.583099,Saurischia,Allosauridae
490894,Archaeornithoides,,,,83.5,70.6,Omnogov,103.692329,44.156948,Saurischia,Troodontidae
490995,Tyrannosaurus,carnivorous,large theropod,12.0,72.1,66.0,Colorado,-105.203766,39.751331,Saurischia,Tyrannosauridae
491003,Ornithomimus,omnivorous,large theropod,4.0,72.1,66.0,Colorado,-105.019165,39.793888,Saurischia,Ornithomimidae
491014,Tyrannosaurus,carnivorous,large theropod,12.0,72.1,66.0,Colorado,-105.110275,39.8675,Saurischia,Tyrannosauridae
491021,Tyrannosaurus,carnivorous,large theropod,12.0,72.1,66.0,Colorado,-105.016113,39.613335,Saurischia,Tyrannosauridae
491030,Tyrannosaurus,carnivorous,large theropod,12.0,72.1,66.0,Colorado,-105.036667,39.836666,Saurischia,Tyrannosauridae
491043,Tyrannosaurus,carnivorous,large theropod,12.0,72.1,66.0,Colorado,-105.110275,39.8675,Saurischia,Tyrannosauridae
491049,Ornithomimus,omnivorous,large theropod,4.0,72.1,66.0,Colorado,-105.044098,39.934299,Saurischia,Ornithomimidae
491054,Ornithomimus,omnivorous,large theropod,4.0,72.1,66.0,Colorado,-104.043892,39.615002,Saurischia,Ornithomimidae
491057,Bonatitan,,,,83.5,66.0,Río Negro,-66.800835,-40.057777,Saurischia,Saltasauridae
491207,Allosaurus,carnivorous,large theropod,12.0,157.3,145.0,Utah,-109.391602,40.5345,Saurischia,Allosauridae
491211,Diplodocus,herbivorous,sauropod,26.0,155.7,145.0,Oklahoma,-102.824997,36.897499,Saurischia,Diplodocidae
491212,Apatosaurus,herbivorous,sauropod,21.0,155.7,145.0,Oklahoma,-102.824997,36.897499,Saurischia,Diplodocidae
491214,Barosaurus,herbivorous,sauropod,24.0,155.7,145.0,Oklahoma,-102.824997,36.897499,Saurischia,Diplodocidae
491217,Allosaurus,carnivorous,large theropod,12.0,155.7,145.0,Oklahoma,-102.962776,36.903057,Saurischia,Allosauridae
491218,Camarasaurus,herbivorous,sauropod,23.0,155.7,145.0,Oklahoma,-102.962776,36.903057,Saurischia,
491219,Apatosaurus,herbivorous,sauropod,21.0,155.7,145.0,Oklahoma,-102.962776,36.903057,Saurischia,Diplodocidae
491220,Diplodocus,herbivorous,sauropod,26.0,155.7,145.0,Oklahoma,-102.962776,36.903057,Saurischia,Diplodocidae
491223,Allosaurus,carnivorous,large theropod,12.0,155.7,145.0,Oklahoma,-102.962776,36.903057,Saurischia,Allosauridae
491224,Camarasaurus,herbivorous,sauropod,23.0,155.7,145.0,Oklahoma,-102.962776,36.903057,Saurischia,
491225,Diplodocus,herbivorous,sauropod,26.0,155.7,145.0,Oklahoma,-102.962776,36.903057,Saurischia,Diplodocidae
491226,Apatosaurus,herbivorous,sauropod,21.0,155.7,145.0,Oklahoma,-102.962776,36.903057,Saurischia,Diplodocidae
491233,Diplodocus,herbivorous,sauropod,26.0,157.3,145.0,Colorado,-108.728699,39.128502,Saurischia,Diplodocidae
491247,Allosaurus,carnivorous,large theropod,12.0,157.3,152.1,Wyoming,-106.291,41.967098,Saurischia,Allosauridae
491248,Barosaurus,herbivorous,sauropod,24.0,157.3,152.1,Wyoming,-106.291,41.967098,Saurischia,Diplodocidae
491249,Camarasaurus,herbivorous,sauropod,23.0,157.3,152.1,Wyoming,-106.291,41.967098,Saurischia,
491250,Diplodocus,herbivorous,sauropod,26.0,157.3,152.1,Wyoming,-106.291,41.967098,Saurischia,Diplodocidae
491251,Apatosaurus,herbivorous,sauropod,21.0,157.3,152.1,Wyoming,-106.291,41.967098,Saurischia,Diplodocidae
491316,Allosaurus,carnivorous,large theropod,12.0,157.3,145.0,Utah,-109.252899,39.172699,Saurischia,Allosauridae
491324,Paronychodon,carnivorous,large theropod,5.0,105.3,93.5,Utah,-111.038002,39.051498,Saurischia,Troodontidae
491423,Apatosaurus,herbivorous,sauropod,21.0,157.3,152.1,Colorado,-106.809166,38.524166,Saurischia,Diplodocidae
491424,Allosaurus,carnivorous,large theropod,12.0,157.3,145.0,Colorado,-108.476669,38.853611,Saurischia,Allosauridae
491425,Allosaurus,carnivorous,large theropod,12.0,157.3,145.0,Colorado,-108.397202,38.583099,Saurischia,Allosauridae
491426,Barosaurus,herbivorous,sauropod,24.0,157.3,145.0,Colorado,-108.397202,38.583099,Saurischia,Diplodocidae
491428,Brachiosaurus,herbivorous,sauropod,30.0,157.3,145.0,Colorado,-108.194443,38.638058,Saurischia,Brachiosauridae
491429,Allosaurus,carnivorous,large theropod,12.0,157.3,152.1,Montana,-110.616386,45.544167,Saurischia,Allosauridae
491430,Diplodocus,herbivorous,sauropod,26.0,157.3,152.1,Montana,-110.616386,45.544167,Saurischia,Diplodocidae
491431,Apatosaurus,herbivorous,sauropod,21.0,152.1,145.0,South Dakota,-103.306946,44.474445,Saurischia,Diplodocidae
491432,Allosaurus,carnivorous,large theropod,12.0,157.3,145.0,Utah,-110.367203,39.014301,Saurischia,Allosauridae
491433,Camarasaurus,herbivorous,sauropod,23.0,157.3,145.0,Utah,-110.367203,39.014301,Saurischia,
491435,Torvosaurus,carnivorous,large theropod,10.0,157.3,145.0,Wyoming,-106.00222,41.893055,Saurischia,Megalosauridae
491436,Torvosaurus,carnivorous,large theropod,10.0,157.3,145.0,Wyoming,-106.00222,41.893055,Saurischia,Megalosauridae
491437,Allosaurus,carnivorous,large theropod,12.0,157.3,145.0,Wyoming,-106.00222,41.893055,Saurischia,Allosauridae
491438,Camarasaurus,herbivorous,sauropod,23.0,157.3,145.0,Wyoming,-106.00222,41.893055,Saurischia,
491439,Apatosaurus,herbivorous,sauropod,21.0,157.3,145.0,Wyoming,-106.00222,41.893055,Saurischia,Diplodocidae
491441,Allosaurus,carnivorous,large theropod,12.0,157.3,145.0,Wyoming,-106.00222,41.893055,Saurischia,Allosauridae
491442,Camarasaurus,herbivorous,sauropod,23.0,157.3,145.0,Wyoming,-106.00222,41.893055,Saurischia,
491443,Diplodocus,herbivorous,sauropod,26.0,157.3,145.0,Wyoming,-106.00222,41.893055,Saurischia,Diplodocidae
491444,Apatosaurus,herbivorous,sauropod,21.0,157.3,145.0,Wyoming,-106.00222,41.893055,Saurischia,Diplodocidae
491452,Camarasaurus,herbivorous,sauropod,23.0,152.1,145.0,South Dakota,-103.828003,44.528,Saurischia,
491453,Apatosaurus,herbivorous,sauropod,21.0,152.1,145.0,South Dakota,-103.828003,44.528,Saurischia,Diplodocidae
491454,Allosaurus,carnivorous,large theropod,12.0,152.1,145.0,South Dakota,-103.828003,44.528,Saurischia,Allosauridae
491455,Barosaurus,herbivorous,sauropod,24.0,157.3,145.0,South Dakota,-103.344597,44.184399,Saurischia,Diplodocidae
491456,Allosaurus,carnivorous,large theropod,12.0,157.3,145.0,South Dakota,-103.344597,44.184399,Saurischia,Allosauridae
491460,Camarasaurus,herbivorous,sauropod,23.0,157.3,145.0,South Dakota,-103.409698,43.409801,Saurischia,
491466,Barosaurus,herbivorous,sauropod,24.0,157.3,145.0,Wyoming,-104.734703,44.458099,Saurischia,Diplodocidae
491467,Camarasaurus,herbivorous,sauropod,23.0,157.3,145.0,Wyoming,-104.734703,44.458099,Saurischia,
491468,Apatosaurus,herbivorous,sauropod,21.0,157.3,145.0,Wyoming,-104.734703,44.458099,Saurischia,Diplodocidae
491469,Diplodocus,herbivorous,sauropod,26.0,157.3,145.0,Wyoming,-104.734703,44.458099,Saurischia,Diplodocidae
491475,Allosaurus,carnivorous,large theropod,12.0,157.3,145.0,Wyoming,-104.734703,44.458099,Saurischia,Allosauridae
491506,Barosaurus,herbivorous,sauropod,24.0,157.3,145.0,Wyoming,-104.409302,44.247398,Saurischia,Diplodocidae
491741,Ceratosaurus,carnivorous,large theropod,6.0,157.3,145.0,Colorado,-108.728333,39.15889,Saurischia,
491743,Lophostropheus,carnivorous,large theropod,6.2,208.5,199.3,Basse-Normandie,1.083333,49.216667,Saurischia,
491749,Allosaurus,carnivorous,large theropod,12.0,157.3,152.1,Utah,-110.6875,39.216667,Saurischia,Allosauridae
491750,Marshosaurus,carnivorous,large theropod,6.0,157.3,152.1,Utah,-110.6875,39.216667,Saurischia,Piatnitzkysauridae
491751,Stokesosaurus,,,,157.3,152.1,Utah,-110.6875,39.216667,Saurischia,
492822,Lufengosaurus,herbivorous,sauropod,6.0,199.3,190.8,Yunnan,102.117439,25.180843,Saurischia,Massospondylidae
492832,Chinshakiangosaurus,herbivorous,sauropod,11.0,201.3,199.3,Yunnan,101.416702,26.1667,Saurischia,
492833,Lufengosaurus,herbivorous,sauropod,6.0,201.3,174.1,Guizhou,107.0,27.0,Saurischia,Massospondylidae
493033,Yangchuanosaurus,carnivorous,large theropod,10.0,163.5,150.8,Sichuan,105.683334,29.333332,Saurischia,Metriacanthosauridae
493036,Mamenchisaurus,herbivorous,sauropod,22.0,163.5,145.0,Gansu,102.853104,36.3381,Saurischia,Mamenchisauridae
493052,Tarbosaurus,carnivorous,large theropod,10.0,83.6,72.1,Henan,111.76667,33.933334,Saurischia,Tyrannosauridae
493233,Kelmayisaurus,,,,122.46,100.5,Xinjiang,85.666664,46.099998,Saurischia,Carcharodontosauridae
493251,Megalosaurus,carnivorous,large theropod,9.0,152.1,145.0,Lindi,39.238705,-9.700967,Saurischia,Megalosauridae
495801,Falcarius,,,,129.4,125.0,Utah,-110.100243,38.909088,Saurischia,
497888,Saurexallopus,,,,72.1,66.0,Wyoming,-110.410835,43.964169,Saurischia,
497891,Saurexallopus,,,,72.1,66.0,Wyoming,-110.410835,43.84,Saurischia,
498258,Deinonychus,carnivorous,small theropod,3.0,125.0,100.5,Wyoming,-107.895401,44.5089,Saurischia,Dromaeosauridae
498264,Deinonychus,carnivorous,small theropod,3.0,125.0,100.5,Wyoming,-108.322403,44.978199,Saurischia,Dromaeosauridae
498853,Sinosauropteryx,carnivorous,small theropod,1.0,130.0,122.46,Liaoning,120.8722,41.601398,Saurischia,
498866,Sinosauropteryx,carnivorous,small theropod,1.0,130.0,122.46,Liaoning,120.8722,41.601398,Saurischia,
498873,Deinonychus,carnivorous,small theropod,3.0,113.0,100.5,Montana,-108.182602,45.4244,Saurischia,Dromaeosauridae
498881,Microvenator,,,,113.0,100.5,Montana,-109.685501,46.337502,Saurischia,Caenagnathidae
498882,Deinonychus,carnivorous,small theropod,3.0,113.0,100.5,Montana,-109.685501,46.337502,Saurischia,Dromaeosauridae
498887,Deinonychus,carnivorous,small theropod,3.0,113.0,100.5,Montana,-108.811302,45.197399,Saurischia,Dromaeosauridae
498889,Deinonychus,carnivorous,small theropod,3.0,113.0,100.5,Montana,-108.750099,45.3559,Saurischia,Dromaeosauridae
498891,Deinonychus,carnivorous,small theropod,3.0,113.0,100.5,Wyoming,-107.572601,43.219398,Saurischia,Dromaeosauridae
498894,Deinonychus,carnivorous,small theropod,3.0,113.0,100.5,Montana,-108.811798,45.3559,Saurischia,Dromaeosauridae
498900,Deinonychus,carnivorous,small theropod,3.0,113.0,100.5,Montana,-108.811302,45.341202,Saurischia,Dromaeosauridae
498909,Deinonychus,carnivorous,small theropod,3.0,113.0,100.5,Wyoming,-108.322403,44.978199,Saurischia,Dromaeosauridae
498910,Ornithomimus,omnivorous,large theropod,4.0,113.0,100.5,Wyoming,-108.322403,44.978199,Saurischia,Ornithomimidae
498911,Sauroposeidon,,,,113.0,100.5,Wyoming,-108.322403,44.978199,Saurischia,
498918,Deinonychus,carnivorous,small theropod,3.0,113.0,100.5,Wyoming,-108.322403,44.978199,Saurischia,Dromaeosauridae
498921,Microvenator,,,,113.0,100.5,Wyoming,-108.322403,44.978199,Saurischia,Caenagnathidae
498922,Sauroposeidon,,,,113.0,100.5,Wyoming,-108.322403,44.978199,Saurischia,
498927,Ornithomimus,omnivorous,large theropod,4.0,113.0,100.5,Wyoming,-108.322403,44.978199,Saurischia,Ornithomimidae
499154,Deinonychus,carnivorous,small theropod,3.0,113.0,100.5,Montana,-108.2649,45.380501,Saurischia,Dromaeosauridae
499160,Deinonychus,carnivorous,small theropod,3.0,113.0,100.5,Montana,-108.038498,45.409698,Saurischia,Dromaeosauridae
499169,Deinonychus,carnivorous,small theropod,3.0,113.0,100.5,Montana,-108.100197,45.351299,Saurischia,Dromaeosauridae
499171,Deinonychus,carnivorous,small theropod,3.0,113.0,100.5,Montana,-108.811302,45.283699,Saurischia,Dromaeosauridae
499605,Deinonychus,carnivorous,small theropod,3.0,125.0,100.5,Montana,-108.141403,45.438999,Saurischia,Dromaeosauridae
499612,Deinonychus,carnivorous,small theropod,3.0,125.0,100.5,Montana,-108.162003,45.438999,Saurischia,Dromaeosauridae
499647,Ornithomimus,omnivorous,large theropod,4.0,113.0,100.5,Montana,-108.141403,45.453602,Saurischia,Ornithomimidae
499659,Deinonychus,carnivorous,small theropod,3.0,113.0,100.5,Montana,-108.141403,45.438999,Saurischia,Dromaeosauridae
499670,Deinonychus,carnivorous,small theropod,3.0,113.0,100.5,Montana,-108.811302,45.2262,Saurischia,Dromaeosauridae
499686,Deinonychus,carnivorous,small theropod,3.0,113.0,100.5,Montana,-108.811302,45.2262,Saurischia,Dromaeosauridae
499688,Deinonychus,carnivorous,small theropod,3.0,113.0,100.5,Montana,-108.811302,45.2262,Saurischia,Dromaeosauridae
499707,Diplodocus,herbivorous,sauropod,26.0,157.3,145.0,Montana,-108.100197,45.453602,Saurischia,Diplodocidae
499859,Ornithomimus,omnivorous,large theropod,4.0,125.0,100.5,Montana,-108.120796,45.468201,Saurischia,Ornithomimidae
499860,Ornithomimus,omnivorous,large theropod,4.0,125.0,100.5,Montana,-108.120796,45.468201,Saurischia,Ornithomimidae
499902,Velociraptor,carnivorous,small theropod,1.8,83.6,66.0,Nei Mongol,106.98278,41.500557,Saurischia,Dromaeosauridae
500000,Ohmdenosaurus,,,,182.0,175.6,Baden-Württemberg,9.5167,48.650002,Saurischia,
500518,Coelophysis,carnivorous,small theropod,2.0,201.3,190.8,Mashonaland North,29.5,-16.116667,Saurischia,
500519,Coelophysis,carnivorous,small theropod,2.0,201.3,190.8,Matabeleland North,30.1,-16.216667,Saurischia,
501469,Malawisaurus,herbivorous,sauropod,9.0,125.0,113.0,Northern,34.025002,-10.283333,Saurischia,
501470,Malawisaurus,herbivorous,sauropod,9.0,125.0,113.0,Northern,34.025002,-10.283333,Saurischia,
501471,Malawisaurus,herbivorous,sauropod,9.0,125.0,113.0,Northern,34.025002,-10.283333,Saurischia,
501472,Malawisaurus,herbivorous,sauropod,9.0,125.0,113.0,Northern,34.025002,-10.283611,Saurischia,
501473,Malawisaurus,herbivorous,sauropod,9.0,125.0,113.0,Northern,34.024723,-10.283333,Saurischia,
501487,Karongasaurus,,,,125.0,113.0,Northern,34.025002,-10.283333,Saurischia,
501488,Karongasaurus,,,,125.0,113.0,Northern,34.025002,-10.283333,Saurischia,
501510,Chirostenotes,omnivorous,small theropod,1.7,83.5,70.6,Montana,-109.900002,46.200001,Saurischia,Caenagnathidae
501543,Saurornitholestes,carnivorous,small theropod,1.5,83.5,70.6,Montana,-109.099998,46.099998,Saurischia,Dromaeosauridae
501544,Troodon,carnivorous,small theropod,2.0,83.5,70.6,Montana,-109.099998,46.099998,Saurischia,Troodontidae
501569,Troodon,carnivorous,small theropod,2.0,83.5,70.6,Montana,-109.66333,46.400002,Saurischia,Troodontidae
502070,Shuvuuia,omnivorous,small theropod,0.6,83.5,70.6,Omnogov,103.26667,44.216667,Saurischia,
502071,Demandasaurus,,,,130.0,122.46,Castilla y Leon,-3.3333,42.016701,Saurischia,Rebbachisauridae
504248,Jiangshanosaurus,,,,113.0,100.5,Zhejiang,118.516701,28.6,Saurischia,Saltasauridae
504368,Majungasaurus,carnivorous,large theropod,6.0,72.1,66.0,Mahajanga,46.516701,-15.9333,Saurischia,Abelisauridae
504369,Titanosaurus,,,,72.1,66.0,Mahajanga,46.516701,-15.9333,Saurischia,
504393,Eubrontes (Brontozoum),,,,201.3,174.1,Connecticut,-72.765831,41.340557,Saurischia,Eubrontidae
504404,Eubrontes (Brontozoum),,,,201.3,174.1,Connecticut,-72.765831,41.340557,Saurischia,Eubrontidae
504413,Eubrontes (Brontozoum),,,,201.3,174.1,Connecticut,-72.765831,41.340557,Saurischia,Eubrontidae
504548,Brachytrachelopan,herbivorous,sauropod,10.0,152.1,145.0,Chubut,-71.583336,-43.688889,Saurischia,Dicraeosauridae
508084,Neuquensaurus,,,,86.3,83.6,Neuquén,-68.23333,-38.950001,Saurischia,Saltasauridae
508088,Antarctosaurus,herbivorous,sauropod,18.0,89.3,83.5,Neuquén,-70.283333,-36.936199,Saurischia,
508089,Titanosaurus,,,,89.3,83.5,Neuquén,-70.283333,-36.936199,Saurischia,
508092,Neuquensaurus,,,,83.5,66.0,Río Negro,-68.066673,-38.816669,Saurischia,Saltasauridae
508093,Laplatasaurus,,,,83.5,66.0,Río Negro,-68.066673,-38.816669,Saurischia,Titanosauridae
508141,Neuquensaurus,,,,83.5,70.6,Río Negro,-67.833328,-37.866669,Saurischia,Saltasauridae
508142,Titanosaurus,,,,83.5,70.6,Río Negro,-67.833328,-37.866669,Saurischia,
508143,Pellegrinisaurus,,,,83.5,70.6,Río Negro,-67.982765,-38.76173,Saurischia,
508147,Antarctosaurus,herbivorous,sauropod,18.0,83.5,70.6,Río Negro,-67.703072,-39.125469,Saurischia,
508148,Titanosaurus,,,,83.5,70.6,Río Negro,-67.703072,-39.125469,Saurischia,
508151,Titanosaurus,,,,100.5,72.1,Río Negro,-68.516701,-39.733299,Saurischia,
508502,Argyrosaurus,,,,83.6,66.0,Chubut,-69.216667,-45.450001,Saurischia,
508504,Elaltitan,,,,83.6,66.0,Chubut,-69.428497,-45.971951,Saurischia,
508516,Antarctosaurus,herbivorous,sauropod,18.0,93.9,83.6,São Paulo,-49.383301,-20.799999,Saurischia,
508524,Trigonosaurus,,,,72.1,66.0,Minas Gerais,-47.745834,-19.723333,Saurischia,Saltasauridae
508532,Baurutitan,,,,72.1,66.0,Minas Gerais,-47.745834,-19.723333,Saurischia,Titanosauridae
508559,Adamantisaurus,,,,93.9,83.6,São Paulo,-51.283298,-21.5667,Saurischia,
508630,Saurornitholestes,carnivorous,small theropod,1.5,83.5,70.6,Montana,-109.099998,46.099998,Saurischia,Dromaeosauridae
508631,Troodon,carnivorous,small theropod,2.0,83.5,70.6,Montana,-109.099998,46.099998,Saurischia,Troodontidae
508632,Richardoestesia,carnivorous,small theropod,1.5,83.5,70.6,Montana,-109.099998,46.099998,Saurischia,Dromaeosauridae
508635,Dromaeosaurus,carnivorous,small theropod,1.8,83.5,70.6,Montana,-109.099998,46.099998,Saurischia,Dromaeosauridae
508636,Saurornitholestes,carnivorous,small theropod,1.5,83.5,70.6,Montana,-109.099998,46.099998,Saurischia,Dromaeosauridae
508637,Richardoestesia,carnivorous,small theropod,1.5,83.5,70.6,Montana,-109.099998,46.099998,Saurischia,Dromaeosauridae
508639,Dromaeosaurus,carnivorous,small theropod,1.8,83.5,70.6,Montana,-109.833611,46.435555,Saurischia,Dromaeosauridae
508710,Angaturama,,,,113.0,100.5,Ceará,-39.266666,-7.216667,Saurischia,Spinosauridae
509483,Piveteausaurus,,,,164.7,161.2,Basse-Normandie,-0.085142,49.29847,Saurischia,Megalosauridae
509484,Acrocanthosaurus,carnivorous,large theropod,12.0,122.46,112.03,Texas,-97.784447,32.747501,Saurischia,Carcharodontosauridae
510830,Deltadromeus,carnivorous,large theropod,8.1,99.6,93.5,Matruh,28.914782,28.43112,Saurischia,
510831,Carcharodontosaurus,carnivorous,large theropod,15.0,99.6,93.5,Matruh,28.914782,28.43112,Saurischia,Carcharodontosauridae
510833,Elaphrosaurus,carnivorous,large theropod,6.2,99.6,93.5,Matruh,28.924782,28.43112,Saurischia,
510834,Erectopus,,,,99.6,93.5,Matruh,28.914782,28.43112,Saurischia,Metriacanthosauridae
510835,Bahariasaurus,,,,99.6,93.5,Matruh,28.923843,28.420826,Saurischia,
510836,Deltadromeus,carnivorous,large theropod,8.1,99.6,93.5,Matruh,28.963158,28.431671,Saurischia,
510838,Erectopus,,,,99.6,93.5,Al Jizah,28.904488,28.360708,Saurischia,Metriacanthosauridae
510839,Elaphrosaurus,carnivorous,large theropod,6.2,99.6,93.5,Al Jizah,28.904488,28.360708,Saurischia,
510841,Bahariasaurus,,,,99.6,93.5,Matruh,29.041817,28.47942,Saurischia,
510842,Carcharodontosaurus,carnivorous,large theropod,15.0,99.6,93.5,Matruh,28.902561,28.417294,Saurischia,Carcharodontosauridae
510843,Deltadromeus,carnivorous,large theropod,8.1,99.6,93.5,Matruh,28.901007,28.426563,Saurischia,
510844,Erectopus,,,,99.6,93.5,Matruh,28.910757,28.414059,Saurischia,Metriacanthosauridae
510845,Carcharodontosaurus,carnivorous,large theropod,15.0,99.6,93.5,Al Jizah,29.116669,28.33333,Saurischia,Carcharodontosauridae
510846,Deltadromeus,carnivorous,large theropod,8.1,99.6,93.5,Matruh,28.924782,28.43112,Saurischia,
512989,Europasaurus,herbivorous,sauropod,6.2,157.3,152.1,Niedersachsen,10.4833,51.900002,Saurischia,Brachiosauridae
513125,Dromaeosaurus,carnivorous,small theropod,1.8,145.0,100.5,Alaska,-153.247498,69.146942,Saurischia,Dromaeosauridae
513141,Dromaeosaurus,carnivorous,small theropod,1.8,70.6,66.0,Alaska,-151.51944,69.832222,Saurischia,Dromaeosauridae
513142,Nanuqsaurus,,,,70.6,66.0,Alaska,-151.51944,69.832222,Saurischia,Tyrannosauridae
513162,Dromaeosaurus,carnivorous,small theropod,1.8,70.6,66.0,Alaska,-151.578232,70.071365,Saurischia,Dromaeosauridae
513163,Troodon,carnivorous,small theropod,2.0,70.6,66.0,Alaska,-151.578232,70.071365,Saurischia,Troodontidae
513165,Saurornitholestes,carnivorous,small theropod,1.5,83.6,66.0,Alaska,-151.800003,69.599998,Saurischia,Dromaeosauridae
513166,Troodon,carnivorous,small theropod,2.0,83.6,66.0,Alaska,-151.800003,69.599998,Saurischia,Troodontidae
513167,Dromaeosaurus,carnivorous,small theropod,1.8,83.6,66.0,Alaska,-151.536957,70.090096,Saurischia,Dromaeosauridae
513168,Troodon,carnivorous,small theropod,2.0,83.6,66.0,Alaska,-151.536957,70.090096,Saurischia,Troodontidae
513176,Dilophosaurus,carnivorous,large theropod,6.0,199.3,182.7,Arizona,-111.167,35.666698,Saurischia,
513177,Dilophosauripus,,,,208.5,199.3,Arizona,-111.316704,36.099998,Saurischia,Grallatoridae
513181,Kayentavenator,,,,199.3,182.7,Arizona,-111.066704,35.733299,Saurischia,
513187,Coelophysis,carnivorous,small theropod,2.0,237.0,201.3,Texas,-101.133301,33.5,Saurischia,
513197,Nqwebasaurus,carnivorous,small theropod,1.0,145.0,132.9,Eastern Cape,25.273056,-33.416943,Saurischia,Compsognathidae
513242,Eshanosaurus,,,,201.3,199.3,Yunnan,102.401901,24.173901,Saurischia,Therizinosauridae
513259,Mamenchisaurus,herbivorous,sauropod,22.0,163.5,157.3,Sichuan,104.781944,28.351944,Saurischia,Mamenchisauridae
513261,Lapparentosaurus,herbivorous,sauropod,,167.7,164.7,Mahajanga,47.12722,-16.5,Saurischia,
513264,Venenosaurus,,,,129.4,125.0,Utah,-109.470901,38.8293,Saurischia,Brachiosauridae
513364,Patagosaurus,herbivorous,sauropod,18.0,166.1,163.5,Chubut,-69.183334,-43.412498,Saurischia,
513365,Tehuelchesaurus,,,,157.3,145.0,Chubut,-69.25,-43.1675,Saurischia,
513385,Nopcsaspondylus,,,,99.6,93.5,Neuquén,-69.249001,-39.514999,Saurischia,Rebbachisauridae
513396,Giganotosaurus,carnivorous,large theropod,12.5,99.6,93.5,Neuquén,-69.599998,-39.200001,Saurischia,Carcharodontosauridae
513397,Giganotosaurus,carnivorous,large theropod,12.5,99.6,93.5,Neuquén,-68.716667,-39.206501,Saurischia,Carcharodontosauridae
513399,Limaysaurus,,,,99.6,93.5,Neuquén,-68.796501,-39.311401,Saurischia,Rebbachisauridae
513400,Limaysaurus,,,,99.6,93.5,Neuquén,-68.796501,-39.311401,Saurischia,Rebbachisauridae
513401,Limaysaurus,,,,99.6,93.5,Neuquén,-68.716667,-39.380402,Saurischia,Rebbachisauridae
513402,Limaysaurus,,,,99.6,93.5,Neuquén,-68.716667,-39.319599,Saurischia,Rebbachisauridae
513417,Guaibasaurus,herbivorous,small theropod,1.8,228.0,208.5,Rio Grande do Sul,-52.849998,-29.66667,Saurischia,Guaibasauridae
513418,Gondwanatitan,,,,93.9,83.6,São Paulo,-51.5,-22.133301,Saurischia,
513477,Rocasaurus,,,,83.5,66.0,Río Negro,-67.491791,-39.29097,Saurischia,Saltasauridae
513479,Thecodontosaurus,omnivorous,sauropod,2.5,208.5,201.3,England,-2.616667,51.469166,Saurischia,
513486,Quaesitosaurus,herbivorous,sauropod,23.0,83.6,72.1,Omnogov,103.524399,43.566002,Saurischia,Nemegtosauridae
513487,Gallimimus,omnivorous,large theropod,6.0,83.6,72.1,Omnogov,103.524399,43.566002,Saurischia,Ornithomimidae
513488,Avimimus,omnivorous,small theropod,1.5,83.6,72.1,Omnogov,103.524399,43.566002,Saurischia,
513489,Tochisaurus,,,,83.5,66.0,Omnogov,101.275002,43.491669,Saurischia,Troodontidae
513498,Gongxianosaurus,,,,182.7,174.1,Sichuan,104.783302,28.35,Saurischia,
513500,Argentinosaurus,herbivorous,sauropod,35.0,99.6,89.8,Neuquén,-69.059998,-38.916672,Saurischia,
513529,Camarasaurus,herbivorous,sauropod,23.0,157.3,145.0,New Mexico,-106.313911,35.317261,Saurischia,
513530,Camarasaurus,herbivorous,sauropod,23.0,157.3,145.0,New Mexico,-106.313911,35.317261,Saurischia,
513531,Diplodocus,herbivorous,sauropod,26.0,157.3,145.0,New Mexico,-106.943939,35.580383,Saurischia,Diplodocidae
513532,Aegyptosaurus,herbivorous,sauropod,15.0,99.6,93.5,Matruh,28.924782,28.43112,Saurischia,
513533,Aegyptosaurus,herbivorous,sauropod,15.0,99.6,93.5,Matruh,28.923843,28.420826,Saurischia,
513534,Aegyptosaurus,herbivorous,sauropod,15.0,99.6,93.5,Matruh,28.914782,28.43112,Saurischia,
513536,Aegyptosaurus,herbivorous,sauropod,15.0,99.6,93.5,Matruh,28.92701,28.430998,Saurischia,
513561,Harpymimus,omnivorous,small theropod,2.0,109.0,99.6,Dornogov,108.398613,45.845833,Saurischia,
513562,Anserimimus,carnivorous,large theropod,3.5,72.1,66.0,Omnogov,99.599998,43.540001,Saurischia,Ornithomimidae
513569,Zanabazar,,,,72.1,66.0,Omnogov,99.599998,43.540001,Saurischia,Troodontidae
513572,Coloradisaurus,omnivorous,sauropod,4.0,228.0,208.5,La Rioja,-68.216667,-29.733334,Saurischia,Massospondylidae
513573,Mussaurus,herbivorous,sauropod,3.0,228.0,208.5,Santa Cruz,-68.306702,-48.080399,Saurischia,
